Date Added,Title,Type,Item Link,Local Control Number,ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,Note for Student
01/10/2021 13:28,Regression and other stories,Book,http://yorksj.rl.talis.com/items/7ef4af57-7af2-48ca-969a-10c2b362af87.html,496866,,9.78111E+12,,,,Set Text,ROS Ch. 10.3 & 12.2
01/10/2021 13:28,Maximum Likelihood for Social Science,Book,http://yorksj.rl.talis.com/items/8e7cefd3-c107-43ad-a35d-a449550c92d9.html,,,9781316888544 9781107185821 9781316636824,,,10.1017/9781316888544,Further Reading,MLSS Ch. 6
01/10/2021 06:36,Who Do You Trust? The Consequences of Partisanship and Trust for Public Responsiveness to COVID-19 Orders,Article,http://yorksj.rl.talis.com/items/E2CDD1BB-A95F-A668-190A-46768F0E5119.html,,,,1537-5927,1541-0986,10.1017/S1537592721000049,Essential Reading,
01/10/2021 13:08,"Comprehensive, User-Friendly Toolkit for Probing Interactions [R package interactions version 1.1.5]",Webpage,http://yorksj.rl.talis.com/items/D88C9FCC-AD59-ADF3-2921-9C50C33D7CB8.html,,,,,,,Essential Reading,
01/10/2021 13:30,R for Data Science,Book,http://yorksj.rl.talis.com/items/50456586-e63b-4083-a7a2-3e2c03156f79.html,,,,,,,Essential Reading,R4DS Ch. 23.4 & 23.5
01/10/2021 13:30,"Comprehensive, User-Friendly Toolkit for Probing Interactions [R package interactions version 1.1.5]",Webpage,http://yorksj.rl.talis.com/items/da5d82aa-3034-4505-a692-c66bb852411d.html,,,,,,,Essential Reading,
17/09/2021 12:00,Counterfactuals and Causal Inference,Book,http://yorksj.rl.talis.com/items/F88FA065-AFBD-C3B9-676D-F4EB975F6F17.html,,,9.78111E+12,,,10.1017/CBO9781107587991,Set Text,Ch. 1 & 2
01/10/2021 13:16,Regression and other stories,Book,http://yorksj.rl.talis.com/items/0dedfa04-0501-41bd-97c1-4ae90ee97c61.html,496866,,9.78111E+12,,,,Further Reading,ROS Ch. 19 & 20
30/09/2021 19:05,Negative Experiences and Trust: A Causal Analysis of the Effects of Victimization on Generalized Trust,Article,http://yorksj.rl.talis.com/items/6600AB5A-D853-0EDA-A7D6-0FC839687D10.html,,,,0266-7215,1468-2672,10.1093/esr/jcu096,Essential Reading,
01/10/2021 13:17,R for Data Science,Book,http://yorksj.rl.talis.com/items/d9234993-43dc-4d4f-b392-94161dfaaf40.html,,,,,,,Essential Reading,Ch. 23.3
01/10/2021 13:06,Marginal Effects for Model Objects [R package margins version 0.3.26],Webpage,http://yorksj.rl.talis.com/items/E4D0CE8C-37C9-980B-B8A8-29768C3679A4.html,,,,,,,Essential Reading,
01/10/2021 13:06,"Tidy, Type-Safe 'prediction()' Methods [R package prediction version 0.3.14]",Website,http://yorksj.rl.talis.com/items/14FC62C3-8D4A-6103-A9D3-1F71D43FDB6A.html,,,,,,,Essential Reading,
01/10/2021 13:39,R for Data Science,Book,http://yorksj.rl.talis.com/items/02b32d7d-b477-486c-9a7e-6621c7b13d60.html,,,,,,,Further Reading,Ch. 28
01/10/2021 13:37,Data Visualization,Book,http://yorksj.rl.talis.com/items/9D43BC15-C95B-2E33-8399-3434E334E666.html,,,,,,,Further Reading,
01/10/2021 10:32,An introduction to categorical data analysis,Book,http://yorksj.rl.talis.com/items/ee282bfd-992d-4641-87a5-84d1ffcce2ac.html,496909,,9.78112E+12,,,,Set Text,ICDA Ch. 3; Further readings:  ICDA Ch. 2
19/09/2020 15:41,Statistical modelling of key variables in social survey data analysis,Article,http://yorksj.rl.talis.com/items/6A9C6F5A-7DEF-CA55-7EF2-03799F492FF4.html,,,,2059-7991,2059-7991,10.1177/2059799116638002,Further Reading,
01/10/2021 13:41,An introduction to categorical data analysis,Book,http://yorksj.rl.talis.com/items/9a8c87f8-2898-4c04-9ea9-20086428d08f.html,496909,,9.78112E+12,,,,Set Text,ICDA Ch. 4
01/10/2021 13:41,Regression and other stories,Book,http://yorksj.rl.talis.com/items/0992ade8-8b5b-4472-b347-63d107dd3ffc.html,496866,,9.78111E+12,,,,Further Reading,ROS Ch. 13 & 14
01/10/2021 13:42,Maximum Likelihood for Social Science,Book,http://yorksj.rl.talis.com/items/dfc6ebfc-fa83-40d9-b363-51fd47cb5fcc.html,,,9781316888544 9781107185821 9781316636824,,,10.1017/9781316888544,Further Reading,MLSS Ch. 3
21/09/2020 03:28,Does Generalized Social Trust Lead to Associational Membership? Unravelling a Bowl of Well-Tossed Spaghetti,Article,http://yorksj.rl.talis.com/items/584A8796-557C-B044-D48C-018A7FBA219C.html,,,,,,,Set Text,
01/10/2021 13:43,An introduction to categorical data analysis,Book,http://yorksj.rl.talis.com/items/46df81dc-1bed-4663-923c-4a015e22e5b5.html,496909,,9.78112E+12,,,,Set Text,ICDA Ch. 6
01/10/2021 13:43,Regression and other stories,Book,http://yorksj.rl.talis.com/items/7f7da608-9802-4a34-8c25-af769adac7b6.html,496866,,9.78111E+12,,,,Further Reading,ROS Ch. 15
01/10/2021 13:43,Maximum Likelihood for Social Science,Book,http://yorksj.rl.talis.com/items/9ace2277-8079-44d0-88e9-ac7f317ce0bc.html,,,9781316888544 9781107185821 9781316636824,,,10.1017/9781316888544,Further Reading,"MLSS Ch. 8, 9 & 10"
01/10/2021 13:45,Multilevel Modeling in Plain Language,Book,http://yorksj.rl.talis.com/items/8e7e626f-b22b-4c14-a67a-e588bacb6008.html,,,9780857029164 9781529771084,,,10.4135/9781473920712,Set Text,
01/10/2021 13:46,An introduction to categorical data analysis,Book,http://yorksj.rl.talis.com/items/dbcdfdfb-b039-4045-8658-47311f49ff20.html,496909,,9.78112E+12,,,,Further Reading,ICDA Ch. 10
01/10/2021 11:40,"Trusting the State, Trusting Each Other? The Effect of Institutional Trust on Social Trust",Article,http://yorksj.rl.talis.com/items/15C4A493-19E2-810D-EBD2-4429E9C14DD9.html,,,,0190-9320,1573-6687,10.1007/s11109-015-9322-8,Essential Reading,
01/10/2021 13:46,R for Data Science,Book,http://yorksj.rl.talis.com/items/5b3f454f-f40e-4b84-b1b4-4f6fdf7ea959.html,,,,,,,Essential Reading,R4DS Ch. 12 & 13
